date,aqi,pm25,pm10,no2,o3
2025-01-11 09:00:00,4,47.29,82.39,8.57,153.07
2025-01-11 10:00:00,4,43.88,76.47,8.14,153.07
2025-01-11 11:00:00,4,42.85,77.18,8.82,147.34
2025-01-11 12:00:00,3,43.24,84.57,11.31,135.9
2025-01-11 13:00:00,4,69.93,123.19,50.04,80.82
2025-01-11 14:00:00,5,123.64,185.79,93.22,19.31
2025-01-11 15:00:00,5,168.97,231.77,97.33,1.81
2025-01-11 16:00:00,5,218.73,281.57,93.22,0.13
2025-01-11 17:00:00,5,269.73,334.87,91.85,0
2025-01-11 18:00:00,5,277.23,344.4,91.85,0
2025-01-11 19:00:00,5,221.98,284.67,87.74,0.01
2025-01-11 20:00:00,5,149.13,201.78,71.97,0.37
2025-01-11 21:00:00,5,100.42,143.51,51.41,6.88
2025-01-11 22:00:00,5,77.93,115.66,32.22,27.9
2025-01-11 23:00:00,4,73.18,109.05,23.99,46.49
2025-01-12 00:00:00,5,75.75,111.27,22.62,55.08
2025-01-12 01:00:00,5,83.08,118.48,26.73,55.79
2025-01-12 02:00:00,5,120.86,159.99,52.78,29.68
2025-01-12 03:00:00,5,160.49,203.57,74.71,2.44
2025-01-12 04:00:00,5,185.14,233.57,80.2,11.8
2025-01-12 05:00:00,5,204.94,260.6,84.31,32.19
2025-01-12 06:00:00,5,223.06,284.54,93.22,63.66
2025-01-12 07:00:00,4,50.55,88.05,15.42,133.04
2025-01-12 08:00:00,4,39.92,72.01,8.65,140.19
2025-01-10 09:00:00,5,80.17,121.63,12,161.65
2025-01-10 10:00:00,5,81.72,121.13,13.2,167.37
2025-01-10 11:00:00,5,83.16,121.41,14.22,165.94
2025-01-10 12:00:00,5,79.65,116.02,15.08,155.93
2025-01-10 13:00:00,5,96.13,132.27,43.87,108.72
2025-01-10 14:00:00,5,140.12,179.62,80.2,55.79
2025-01-10 15:00:00,5,178.33,221.49,91.85,32.9
2025-01-10 16:00:00,5,223.61,270.51,104.19,11.44
2025-01-10 17:00:00,5,274.07,326.28,98.71,0.24
2025-01-10 18:00:00,5,278.76,337.42,87.05,0.01
2025-01-10 19:00:00,5,232.83,297.7,80.2,0.05
2025-01-10 20:00:00,5,183.26,255.99,69.23,2.86
2025-01-10 21:00:00,5,157.17,236.61,47.3,21.64
2025-01-10 22:00:00,5,147.04,227.62,31.53,43.99
2025-01-10 23:00:00,5,145.43,224.25,24.68,57.94
2025-01-11 00:00:00,5,147.72,222.23,23.65,64.37
2025-01-11 01:00:00,5,152.76,223.08,28.1,61.51
2025-01-11 02:00:00,5,195.39,265.48,58.26,27.54
2025-01-11 03:00:00,5,247.52,319.23,76.08,0.69
2025-01-11 04:00:00,5,281.13,353.77,78.14,4.34
2025-01-11 05:00:00,5,289.48,362.82,82.94,18.06
2025-01-11 06:00:00,5,283.87,357.45,94.59,50.78
2025-01-11 07:00:00,5,76.43,126.36,15.94,141.62
2025-01-11 08:00:00,4,50.96,89.39,8.31,150.2
2025-01-09 09:00:00,5,228.82,293.57,76.08,205.99
2025-01-09 10:00:00,5,154.22,205.69,47.3,197.41
2025-01-09 11:00:00,5,130.99,177.57,45.93,183.11
2025-01-09 12:00:00,5,125.36,173.11,56.21,161.65
2025-01-09 13:00:00,5,185.69,241.58,142.57,65.8
2025-01-09 14:00:00,5,315,385.57,208.38,0.34
2025-01-09 15:00:00,5,436.44,520.04,200.15,0
2025-01-09 16:00:00,5,463.7,552.19,172.73,0
2025-01-09 17:00:00,5,385.92,466.26,137.09,0
2025-01-09 18:00:00,5,276.19,340.23,111.04,10.73
2025-01-09 19:00:00,5,194.3,242.97,64.43,65.8
2025-01-09 20:00:00,5,161.27,202.49,43.18,90.12
2025-01-09 21:00:00,5,145.88,183.84,32.9,94.41
2025-01-09 22:00:00,5,138.56,174.78,29.13,92.98
2025-01-09 23:00:00,5,136.3,171,27.76,87.98
2025-01-10 00:00:00,5,137.39,171.62,29.82,80.82
2025-01-10 01:00:00,5,143.96,178.54,37.01,69.38
2025-01-10 02:00:00,5,191.11,230.23,72.66,30.4
2025-01-10 03:00:00,5,217.75,260.36,95.96,2.95
2025-01-10 04:00:00,5,198.47,242.01,85,15.38
2025-01-10 05:00:00,5,206.52,252.85,76.08,42.92
2025-01-10 06:00:00,5,206.54,254.04,67.86,82.25
2025-01-10 07:00:00,5,99.61,148.31,15.42,145.91
